Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score
Angenieux,Optimo,45-120,T2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-120mm Angenieux Optimo T2.8,False,0.8888888888888888
Angenieux,Optimo,15-40,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-40mm Angenieux Optimo T2.6,False,0.8846153846153846
Angenieux,Optimo,17-80,T2.2,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-80mm Angenieux Optimo T2.2,False,0.8846153846153846
Angenieux,Optimo,28-76,T2.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-76mm Angenieux Optimo T2.6,False,0.8846153846153846
Angenieux,,25-250,T3.5,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-250mm Angenieux HR T3.5,False,0.782608695652174
Angenieux,,11.5-138,T2.3,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5-138mm Angenieux T2.3,False,0.8695652173913043
Angenieux,,11.5-138,T2.3,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5-138mm Angenieux T2.3,False,0.8695652173913043
Angenieux,,7-81,T2.4,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-81mm Angenieux HR T2.4,False,0.7619047619047619
Angenieux,,9.5-57,T1.9,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5-57mm Angenieux T1.9,False,0.8571428571428571
Angenieux,,5.9,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9mm Angenieux T2,False,0.875
Atlas,Mercury,138,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,138mm Atlas Mercury Anamorphic T2.2,False,0.6129032258064516
Atlas,Orion,100,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Atlas Silver Edition Orion T2,True,0.5
Atlas,Mercury,36,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,36mm Atlas Mercury Anamorphic T2.2,False,0.6
Atlas,Mercury,42,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,42mm Atlas Mercury Anamorphic T2.2,False,0.6
Atlas,Mercury,54,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,54mm Atlas Mercury Anamorphic T2.2,False,0.6
Atlas,Mercury,72,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,72mm Atlas Mercury Anamorphic T2.2,False,0.6
Atlas,Mercury,95,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,95mm Atlas Mercury Anamorphic T2.2,False,0.6
Atlas,Orion,32,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Atlas Silver Edition Orion T2,True,0.4827586206896552
Atlas,Orion,40,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Atlas Silver Edition Orion T2,True,0.4827586206896552
Atlas,Orion,50,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Atlas Silver Edition Orion T2,True,0.4827586206896552
Atlas,Orion,65,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Atlas Silver Edition Orion T2,True,0.4827586206896552
Atlas,Orion,80,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,80mm Atlas Silver Edition Orion T2,True,0.4827586206896552
Atlas,Orion,135,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Atlas Orion Anamorphic T2.2,True,0.5862068965517241
Atlas,Orion,200,T3.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,200mm Atlas Orion Anamorphic T3.2,True,0.5862068965517241
Atlas,Orion,18,T2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm Atlas Orion Anamorphic T2,True,0.5384615384615384
Atlas,Orion,21,T2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm Atlas Orion Anamorphic T2,True,0.5384615384615384
Atlas,Orion,100,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Atlas Orion T2,False,0.8823529411764706
Atlas,Orion,25,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm Atlas Orion T2,False,0.875
Atlas,Orion,28,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm Atlas Orion T2,False,0.875
Atlas,Orion,32,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Atlas Orion T2,False,0.875
Atlas,Orion,40,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Atlas Orion T2,False,0.875
Atlas,Orion,50,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Atlas Orion T2,False,0.875
Atlas,Orion,65,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm Atlas Orion T2,False,0.875
Atlas,Orion,80,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,80mm Atlas Orion T2,False,0.875
Caldwell,Chameleon SC/XC,100,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm/150mm Caldwell Chameleon SC/XC - Rear Expander,True,0.5217391304347826
Caldwell,Chameleon SC/XC,75,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm/112mm Caldwell Chameleon SC/XC - Rear Expander,True,0.5111111111111111
Caldwell,Chameleon SC/XC,32,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm/48mm Caldwell Chameleon SC/XC - Rear Expander,True,0.5227272727272727
Caldwell,Chameleon SC/XC,40,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm/60mm Caldwell Chameleon SC/XC - Rear Expander,True,0.5227272727272727
Caldwell,Chameleon SC/XC,50,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm/75mm Caldwell Chameleon SC/XC - Rear Expander,True,0.5227272727272727
Caldwell,Chameleon SC/XC,60,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm/90mm Caldwell Chameleon SC/XC - Rear Expander,True,0.5227272727272727
Caldwell,Chameleon SC/XC,100,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm/150mm Caldwell Chameleon SC/XC - Front,False,0.6153846153846154
