,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
,,100mm,2.2,"2' 4""",2.6 lbs,"4.9""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,2017,
,,120mm,2.6,"1' 10""",3.66 lbs,"6.9""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,,
,,180mm,3.6,5',3.6 lbs,"6.1""",95mm,PL / XPL,60mm,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",No,N/A,2017,
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Mamiya,645 TLS Rehoused,19mm,f/3.5,,,,,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,25mm,f/3.5,"12""",,"3.68""",95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,32mm,f/2.8,"14""",,"4.27""",95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,39mm,f/2.8,"16""",,"4.27""",95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,50mm,f/2.8,"21""",,"3.68""",95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,57mm,f/1.9,"2' 1""",,"3.68""",95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,78mm,f/2.8,"3' 7""",,"3.68""",95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,107mm,f/2.8,"3' 9""",,,95mm,PL / LPL,65 Format,,,,No,No,1970's,Not currently in inventory
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
MasterBuilt,Ultra65,21mm,1.8,,,,,,,,,,,,,Not currently in inventory
,,24mm,1.8,,,,,,,,,,,,,Not currently in inventory
,,29mm,1.8,,,,,,,,,,,,,Not currently in inventory
,,35mm,1.8,,,,,,,,,,,,,Not currently in inventory
