Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
zeiss,master prime,100,2.0 (4.3 at cf),prime,,pl,spherical,,,,114,13.75,8,35mm ok,42,9,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, century 2x, optex 2x",yes,,,19.5mm,5.7,,,,,macro,,,,,,,
zeiss,master prime,135,1.3,prime,,pl,spherical,,,,114,3 3,6.75,35mm ok,43,9,ibe 1.4x,yes,,,,6.2,2005,,,,,,,,,,,
zeiss,master prime,150,1.3,prime,,pl,spherical,,,,134,5,8.25,35mm ok,43,9,"ibe 1.4x, ibe 2x",yes,,,24mm,9,2007,,,,,,,,,,,
zeiss,master prime,15,1.8,prime,,pl/lpl/ef,spherical,,,,114,n/a,,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,n/a,2020,,,,,,,,,,,
zeiss,master prime,18,1.5,prime,,pl/lpl/ef,spherical,,,,114,n/a,,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,n/a,2020,,,,,,,,,,,
zeiss,master prime,21,1.5,prime,,pl/lpl/ef,spherical,,,,95,13.7”,4.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.3,2019,,,,,,,,,,,
zeiss,master prime,25,1.5,prime,,pl/lpl/ef,spherical,,,,95,10”,4.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.13,2018,,,,,,,,,,,
zeiss,master prime,29,1.5,prime,,pl/lpl/ef,spherical,,,,95,13”,4.8”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.55,2018,,,,,,,,,,,
zeiss,master prime,35,1.5,prime,,pl/lpl/ef,spherical,,,,95,13”,4.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.09,2018,,,,,,,,,,,
zeiss,master prime,50,1.5,prime,,pl/lpl/ef,spherical,,,,95,18”,4.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,2.69,2018,,,,,,,,,,,
zeiss,master prime,65,1.5,prime,,pl/lpl/ef,spherical,,,,95,2’,4.8”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.59,2019,,,,,,,,,,,
zeiss,master prime,85,1.5,prime,,pl/lpl/ef,spherical,,,,95,2’9”,4.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.13,2018,,,,,,,,,,,
zeiss,master prime,100,1.5,prime,,pl/lpl/ef,spherical,,,,95,3’9”,4.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,3.74,2018,,,,,,,,,,,
zeiss,master prime,135,1.5,prime,,pl/lpl/ef,spherical,,,,114,4’6”,5.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,5.4,2019,,,,,,,,,,,
zeiss,master prime,150,1.8,prime,,pl/lpl/ef,spherical,,,,114,4’11”,5.7”,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,5.4,2019,,,,,,,,,,,
zeiss,master prime,200,2.1,prime,,pl/lpl/ef,spherical,,,,114,n/a,n/a,,46.2,,"ibe 1.4x, ibe 2x, ibe 2x vv",yes,,,,n/a,2020,,,,,,,,,,,
zeiss,ultra prime,8mm (8r),2.8,prime,,pl,spherical,,,,134,1 3,5.12,35mm ok,31,9,,no,,,,3.4,2005,,,,rectilinear,,,,,,,
