Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
Sigma,Gm,24,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm Sigma/i T1.5
Sigma,Gm,35,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm Sigma/i T1.5
Sigma,Gm,50,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Sigma/i T1.5
Sigma,Gm,85,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm Sigma/i T1.5
Sigma,Gm,135,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm Sigma/i T2.0
SIM,Ethereal,75,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm ETHEREAL 1:28
SIM,Ethereal,40,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm SIM ETHEREAL
SIM,Ethereal,50,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm SIM ETHEREAL
SIM,Ethereal,80,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,80mm SIM ETHEREAL
Snorricam,Snorricam,,,Special,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snorricam
Sony,,35,F1.8,Prime,,E-MOUNT,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm Sony E-Mount f/1.8
Sony,Fe,35,F2.8,Prime,,E-MOUNT,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm Sony Sonnar T* FE E-Mount f/2.8 ZA
Sony,GM,70-200,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,70-200mm Sony FE F2.8 GM OSS II Lens
