,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
,,100mm,2.3,4',2.1 lbs,"4.2"" - 4.6""",80mm (95mm for Clairmont),PL,43mm,35mm OK,10,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,N/A,,Telescoping / Vintage: 1960's,,,,
,,152mm,2.8,,,,,PL,,35mm OK,,,,No,N/A,,Not currently in inventory / Vintage: 1960's,,,,
,,225mm,,,,,,PL,,35mm OK,,,,No,,,Not currently in inventory / Vintage: 1960's,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Bausch & Lomb,Super Baltar,20mm,2.3,"18""",1.9 lbs,"3.08""",80mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,
,,25mm,2.3,"18""",2.7 lbs,"4.71""",80mm/110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,
,,35mm,2.3,"18""",1.2 lbs,"2.65""",114mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,
,,50mm,2.3,"18""",1 lbs,"3.18""",110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,
,,75mm,2.3,"22""",1.3 lbs,"3.35""",110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,
,,100mm,2.3,4',2.1 lbs,"4.18""",110mm,PL,,35mm OK,,,,No,,,Front Diameters may vary based on barcode,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Bausch & Lomb,Super Baltar,20mm,2.3,"12""",3.2 lbs,"3.5""",110mm,PL,33mm,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,
,,25mm,2.3,"12""",4.2 lbs,"5.25""",110mm,PL,32mm,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,
,,35mm,2.3,"14""",2.6 lbs,"3.6""",110mm,PL,34mm clear / 38mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,
,,50mm,2.3,"15""",2.6 lbs,"4.25""",110mm,PL,33mm clear / 38mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X",,No,N/A,,TLS / Vintage: 1960's,,,,
,,75mm,2.3,"20""",3.2 lbs,"4.7""",110mm,PL,39mm clear / 43mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,No,N/A,,TLS / Vintage: 1960's,,,,
,,100mm,2.3,"3' 3""",4 lbs,"5.25""",110mm,PL,42mm clear / 43mm with falloff,35mm OK,,"IBE 1.4X, IBE 2X, Ang 2X",,No,N/A,,TLS / Vintage: 1960's,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Cooke,5/i,18mm,1.4,"14""",6.67 lbs,"6.75""",110mm,PL,37mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,25mm,1.4,"14""",6.56 lbs,"7""",110mm,PL,37mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,32mm,1.4,"14""",6.21 lbs,"7""",110mm,PL,39mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,40mm,1.4,"16""",6.07 lbs,"7""",110mm,PL,43mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,50mm,1.4,"20""",7.11 lbs,"7""",110mm,PL,43mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,65mm,1.4,2',6.68 lbs,"7""",110mm,PL,43mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,75mm,1.4,"2' 3""",6.58 lbs,"7""",110mm,PL,43mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,100mm,1.4,"2' 6""",6.36 lbs,"7""",110mm,PL,43mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,Yes,N/A,2009,,,,,
,,135mm,1.4,"2' 9""",11.6 lbs,"8.6""",136mm,PL,43mm,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex 2X",,Yes,Attached to lens,2009,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Cooke,Mini S4/i,18mm,2.8,"10""",3.8 lbs,"4.7""",110mm,PL,35mm,35mm OK,8,None,,Yes,N/A,2009,Regular & Uncoated,,,,
,,21mm,2.8,"10""",3 lbs,"4.3""",87mm,PL,35mm,35mm OK,8,None,,Yes,N/A,2009,Regular & Uncoated,,,,
,,25mm,2.8,"10""",3 lbs,"4.2""",87mm,PL,33mm,35mm OK,8,None,,Yes,N/A,2009,Regular & Uncoated,,,,
,,32mm,2.8,"12""",3.2 lbs,"4.3""",87mm,PL,34mm clear / 38mm with falloff,35mm OK,8,None,,Yes,N/A,2009,Regular & Uncoated,,,,
,,40mm,2.8,"16""",3.4 lbs,"4.4""",87mm,PL,36mm,35mm OK,8,"IBE 1.4X, IBE 2X",,Yes,N/A,2009,Regular & Uncoated,,,,
,,50mm,2.8,"20""",3.4 lbs,"5.4""",87mm,PL,38mm,35mm OK,8,"IBE 1.4X, IBE 2X",,Yes,N/A,2009,Regular & Uncoated,,,,
,,65mm,2.8,"2' 3""",3.2 lbs,"5.3""",87mm,PL,39mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X",,Yes,N/A,2009,Regular & Uncoated,,,,
,,75mm,2.8,"2' 6""",3.2 lbs,"5.4""",87mm,PL,41mm clear / 43mm with falloff,35mm OK,8,"IBE 1.4X, IBE 2X",,Yes,N/A,2009,Regular & Uncoated,,,,
,,100mm,2.8,3',3.5 lbs,"5.4""",87mm,PL,41mm clear / 43mm with falloff,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X",,Yes,N/A,2009,Regular & Uncoated,,,,
,,135mm,2.8,"3' 3""",4 lbs,"6.3""",87mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X",,Yes,N/A,2009,Regular & Uncoated,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Cooke,Panchro/i Classic,18mm,2.2,"9""",,,110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,25mm,2.2,"9""",3.3 lbs,"3.6""",110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,32mm,2.2,"12""",,,110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,40mm,2.2,"16""",3.1 lbs,"4.6""",110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,50mm,2.2,"20""",3.3 lbs,"4.6""",110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,75mm,2.2,"30""",4 lbs,"6.1""",110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,100mm,2.2,"36""",4 lbs,"6.1""",110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,152mm,,"42""",,,110mm,PL,30mm,35mm OK,,,,Yes,N/A,2018,Modern Remake,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Cooke,S4 and S4/i,12mm,2,"9""",6.2 lbs,"5""",156mm,PL,28.5mm,35mm OK,8,None,,Yes for /i,N/A,1998,,,,,
,,14mm,2,"9""",4.8 lbs,"5""",110mm,PL,30mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,16mm,2,"9""",5.4 lbs,"5""",110mm,PL,32mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,18mm,2,"9""",3.85 lbs,"4.5""",110mm,PL,32mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,21mm,2,"9""",4.4 lbs,"4.5""",110mm,PL,32mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,25mm,2,"9""",3.5 lbs,"4.5""",110mm,PL,33mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,27mm,2,"10""",3.5 lbs,"4.5""",110mm,PL,33mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,32mm,2,"12""",4 lbs,"5.12""",110mm,PL,34mm,35mm OK,8,None,No,Yes for /i,N/A,1998,,,,,
,,35mm,2,"14""",4.2 lbs,"5.12""",110mm,PL,35mm,35mm OK,8,None,Duclos 1.7X,Yes for /i,N/A,1998,,,,,
,,40mm,2,"16""",4.4 lbs,"5.6""",110mm,PL,32mm,35mm OK,8,IBE 1.4X,Duclos 1.7X,Yes for /i,N/A,1998,,,,,
,,50mm,2,"20""",3.3 lbs,"4.9""",110mm,PL,39mm,35mm OK,8,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes for /i,N/A,1998,,,,,
,,65mm,2,"2' 3""",3.5 lbs,"4.9""",110mm,PL,39mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 2X",Duclos 1.7X,Yes for /i,N/A,1998,Soft focus attachment available,,,,
,,75mm,2,"2' 6""",4.2 lbs,"4.9""",110mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,Yes for /i,N/A,1998,Soft focus attachment available (must be used with included adapter ring),,,,
,,100mm,2,3',4.6 lbs,"5.6""",110mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 2X, Century 2X, Optex 2X",Duclos 1.7X,Yes for /i,N/A,1998,,,,,
,,135mm,2 (+2/3 at CF),"2' 9""",5 lbs,"7.3""",110mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",Duclos 1.7X,Yes for /i,N/A,1998,,,,,
,,150mm,2 (+1/2 at CF),"3' 6""",7.3 lbs,"6.2""",125mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X",Duclos 1.7X,Yes for /i,Attached to lens,1998,,,,,
,,180mm,2 (+2/3 at CF),"4' 3""",9.5 lbs,"7.3""",136mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 2X, Century 2X, Optex 2X",,Yes for /i,Attached to lens,1998,,,,,
,,300mm,2.8,7',10.6 lbs,"8""",136mm,PL,43mm,35mm OK,8,"IBE 1.4X, IBE 2X, Ang 2X, Century 2X, Optex 2X",,Yes for /i,Attached to lens,1998,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Cooke,SP3,18mm,2.4,"10""",1.51 lbs,"4.29""",82mm,E/RF/L/M,43.3mm,NO,,,,No,N/A,2024,Not currently in inventory,,,,
,,25mm,2.4,"10""",1.27 lbs,"3.85""",64mm,E/RF/L/M,43.3mm,NO,,,,No,N/A,2023,Not currently in inventory,,,,
,,32mm,2.4,"13""",1.15 lbs,"3.7""",64mm,E/RF/L/M,43.3mm,NO,,,,No,N/A,2023,Not currently in inventory,,,,
,,50mm,2.4,"20""",1.10 lbs,"3.7""",64mm,E/RF/L/M,43.3mm,NO,,,,No,N/A,2023,Not currently in inventory,,,,
,,75mm,2.4,3',1.15 lbs,"3.85""",64mm,E/RF/L/M,43.3mm,NO,,,,No,N/A,2023,Not currently in inventory,,,,
,,100mm,2.4,3',1.52 lbs,"4.88""",82mm,E/RF/L/M,43.3mm,NO,,,,No,N/A,2023,Not currently in inventory,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,
Cooke,Speed Panchro,18mm,2.2,"8""",1.8 lbs,"2.25""",110mm,PL,20mm clear / 32mm with falloff,35mm OK,"2""",None,No,No,N/A,Series 1: 1921-1931 / Series 2: 1940-1945 / Series 3: 1954,TLS / Vintage,,,,
,,25mm,2.2,"8""",1.8 lbs,"2.7""",110mm,PL,23mm clear / 33mm with falloff,35mm OK,8,None,No,No,N/A,Series 1: 1921-1931 / Series 2: 1940-1945 / Series 3: 1954,TLS / Vintage,,,,
,,28mm,2.3,"8""",1.8 lbs,"2.7""",110mm,PL,22mm clear / 27mm with falloff,35mm OK,12,None,No,No,N/A,Series 1: 1921-1931 / Series 2: 1940-1945 / Series 3: 1954,TLS / Vintage,,,,
,,32mm,2.3,"9""",1.8 lbs,"2.7""",110mm,PL,26mm clear / 33mm with falloff,35mm OK,12,None,No,No,N/A,Series 1: 1921-1931 / Series 2: 1940-1945 / Series 3: 1954,TLS / Vintage,,,,
