,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,85mm,1.3,3',3.4 lbs,"4.1"" - 4.4""",95mm,PL,41mm,,9,"IBE 1.4X, IBE 2X",,No,N/A,,Luma Tech Housing,,,,,,,,
,,135mm,1.8,5',5.1 lbs,"7.7""",95mm,PL,33.5mm,,,,,No,N/A,,Luma Tech Housing,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LOMO,Spherical Primes,18mm,3,"20""",1.5 lbs,"2.4 - 2.5""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,22mm,2.3,"20""",2 lbs,"3.7 - 3.8""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,28mm,2.3,"20""",1.5 lbs,"2.4 - 2.6""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,35mm,2.3,"20""",1.5 lbs,"2.4 - 2.6""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,50mm,2.3,"24""",1.5 lbs,"2.4 - 2.6""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,75mm,2.3,"39""",1.5 lbs,"2.4 - 2.7""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,100mm,3,"49""",1.5 lbs,"3.6 - 4""",85mm,PL,S35,,,,,No,N/A,1950's,Standard Speed Version,,,,,,,,
,,150mm,3.2,"79""",2.5 lbs,"4.6 - 5.2""",85mm,PL,S35,,,,,No,,1950's,Standard Speed Version,,,,,,,,
,,200mm,2.9,"79""",4 lbs,"6.3 - 7.4""",97mm,PL,S35,,,,,No,,1950's,Standard Speed Version,,,,,,,,
,,300mm,3.5,"118""",7 lbs,"9.8 - 11.4""",110mm,PL,S35,,,,,No,,1950's,Standard Speed Version,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LOMO,Vintage Primes,22mm,T2.9,"8""",.8 lbs,"1.5""",95mm,PL,S35,,8,No,No,No,N/A,1950's,,,,,,,,,
,,28mm,T2.1,"9""",1.6 lbs,"2.46""",95mm,PL,S35,,10,No,No,No,N/A,1950's,,,,,,,,,
,,35mm,T2.1,"9""",1.37 lbs,"2.5""",95mm,PL,S35,,10,No,No,No,N/A,1950's,,,,,,,,,
,,50mm,T2.1,"1' 3""",1.6 lbs,"2.75""",95mm,PL,S35,,14,"IBE 1.4X, IBE 2X (T4 or Deeper)",1.7x Duclos,No,N/A,1950's,,,,,,,,,
,,75mm,T2.1,2',2.22 lbs,"3.5""",95mm,PL,S35,,16,"IBE 1.4X, IBE 2X (T4 or Deeper)",1.7x Duclos,No,N/A,1950's,,,,,,,,,
,,100mm,T2.1,"2' 10""",3.27 lbs,"4.84""",95mm,PL,S35,,15,"IBE 1.4X, IBE 2X (T4 or Deeper)",1.7x Duclos,No,N/A,1950's,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Lomography,Petzval,58mm,f/1.9,2',1.85 lbs,"5""",N/A,EF,44mm,35mm OK,N/A (Waterhouse Stop),,,No,N/A,,,,,,,,,,
,,85mm,f/2.2,"3' 3""",2 lbs,"6""",N/A,PL,44mm,35mm OK,N/A (Waterhouse Stop),,,No,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
