,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
P+S Technik,Technovision,40mm,2.2,"2' 3""",6.17 lbs,"6.57""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,50mm,2.2,"2' 3""",6.61 lbs,"7.04""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,75mm,2.5,"3' 3""",8.81 lbs,"10.31""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,100mm,2.5,"3' 3""",9.26 lbs,"10.82""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,135mm,2.5,"3' 3""",12.12 lbs,"17.63""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,150mm,2.5,"3' 8""",12.34 lbs,"17.63""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,200mm,3.2,"4' 3""",11.68 lbs,"17.63""",136mm,PL/LPL,43mm,,,1.5x,N/A,No,,2022,Front,Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Second Reef,Coral Anamorphic,35mm,2.8,,,,114mm,PL,FF,,,1.5x,,Yes,,2024,Middle,"Not released - These lenses feature a unique oval iris design. They are 1.5x anamorphic with a 2x look due to this iris. Iris also has more blades than listed, but these are there to ensure the oval effect, 8 blades are doing the bokeh shaping.",,,,,
,,50mm,2.6,"17.7""",4.95 lbs,"5.75""",114mm,PL,FF,,8 (Oval Iris Design),1.5x,,Yes,,2024,Middle,,,,,,
,,75mm,2.8,"2' 1""",4.75 lbs,"6.5""",114mm,PL,FF,,8 (Oval Iris Design),1.5x,,Yes,,2024,Middle,,,,,,
,,90mm,2.8,"2' 1""",4.75 lbs,"6.5""",114mm,PL,FF,,8 (Oval Iris Design),1.5x,,Yes,,2024,Middle,,,,,,
,,135mm,2.8,,,,114mm,PL,FF,,,1.5x,,Yes,,2024,Middle,Not released,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,Focal Length
ServiceVision,Scorpio,20mm,2.8,"1' 4""",,"7.5""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"20mm Does not cover full frame, 25% reduction required to cover 2.39 full frame",,,,,
,,25mm,2.2,"1' 6""",5.5 lbs,"7.5""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"25mm Does not cover full frame, 15% reduction required to cover 2.39 full frame",,,,,
,,30mm,2.2,"1' 4""",,"7.5""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,Not currently in inventory,,,,,
,,35mm,2.2,"1' 6""",4.8 lbs,"6.3""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,10% reduction required to cover 2.39 full frame,,,,,
,,40mm,2.2,"1' 8""",3.96 lbs,"6.3""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,5% reduction required to cover 2.39 full frame,,,,,
,,50mm,2.2,"1' 10""",4.8 lbs,"6.3""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"Covers 2.39 full frame, vignettes at edges",,,,,
,,60mm Macro,2.8,1',5.7 lbs,"7.5""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,10% reduction required to cover 2.39 full frame,,,,,
,,75mm,2.2,"2' 6""",4.8 lbs,"6.3""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"Covers 2.39 full frame, vignettes at edges",,,,,
,,100mm,2.2,"3' 3""",4.8 lbs,"6.3""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"Covers 2.39 full frame, vignettes at edges",,,,,
,,135mm,2.2,"3' 3""",5.5 lbs,"6.3""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"Covers 2.39 full frame, vignettes at edges",,,,,
,,150mm,2.8,"3' 3""",5.5 lbs,"7.5""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,"Covers 2.39 full frame, vignettes at edges",,,,,
,,200mm Macro,2.8,,,"7.5""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,Not currently in inventory,,,,,
,,250mm,2.8,"3' 3""",,"8.7""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,Not currently in inventory,,,,,
,,300mm,2.8,"3' 3""",,"8.7""",95mm,PL,37.4mm,,18,2x,,No,N/A,,Rear,Not currently in inventory,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
