,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Cooke,Anamorphic/i 2x,25mm,2.3,3',9 lbs,"8""",136mm,PL,30mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,32mm,2.3,"2' 9""",7.2 lbs,"7.8""",110mm,PL,31mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X, Ang 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,40mm,2.3,"2' 9""",7.7 lbs,"8""",110mm,PL,33mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,50mm,2.3,"2' 9""",8.1 lbs,"8""",110mm,PL,34mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,65mm Macro,2.6,"18""",11.8 lbs,"10.3""",136mm,PL,31mm,35mm OK,11,2x,IBE 1.4X,,Yes,Attached to lens,2013,Middle,Original and SF,,,,
,,75mm,2.3,"3' 3""",7.4 lbs,"8""",110mm,PL,39mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,100mm,2.3,"3' 9""",7.6 lbs,"8""",110mm,PL,38mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,135mm,2.3,5',9 lbs,"9.4""",110mm,PL,38mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,N/A,2013,Middle,Original and SF,,,,
,,180mm,2.8,"6' 6""",13 lbs,"11.6""",110mm,PL,38mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X (Rear Light Baffle must be removed)",,Yes,Attached to lens,2013,Middle,"Original and SF, Extender usage lowers resolution of lens by 10-20%",,,,
,,300mm,3.5,10',19.4 lbs,"14.9""",136mm,PL,38mm,35mm OK,11,2x,"IBE 1.4X, IBE 2X",,Yes,Attached to lens,2013,Middle,Original and SF,,,,
,,,,,,,,,,,,,,,,,,,,,,,
