,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,50mm,1.4,"1' 4""",1.4 lbs,"2.25""",80mm,PL / Bayonet,41mm clear / 43mm with falloff,35mm OK,6,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,N/A,1970-1990,"Mark I, Van Diemen / Vintage",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
LEITZ,Elmarit-R,19mm,T2.9,"9""",2 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,24mm,T2.9,"10""",2 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,28mm,T2.9,"9""",2 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,35mm,T1.5,"1' 8""",3.2 lbs,"3.2""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,50mm,T1.5,"1' 5""",2.3 lbs,"2.7""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,60mm Macro,T2.9,"11""",3.3 lbs,"4.8""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,80mm,T1.5,"1' 10""",3.7 lbs,"3.6""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,100mm Macro,T2.9,"1' 5""",4.4 lbs,"6""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
,,135mm,T2.9,"3' 4""",3.4 lbs,"4.8""",110mm,PL,43mm,35mm OK,,,,No,N/A,1970-1990,TLS/Cinescope,,,,,,,,
