"Super 35
Cooke,Varopanchro,20-60mm,3.1,"2' 4""",6 lbs,"9.25""",121mm,PL universal,29mm,35mm OK,9,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,Attached + 22mm,1981,Small,,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Cooke,Varotal,18-100mm,3,"2' 4""",13.8 lbs,"12.5""",150mm,PL universal,29mm,35mm OK,6,"2X anamorphic, IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Century 2X, Optex 2X",,No,28mm / Attached to lens,1987,Standard,Rear net holder,
,,18-90mm,2.3,"2' 6""",11 lbs,"13.2""",144mm,PL universal,28mm,35mm OK,6,"2X ana., IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X, Optitek 1.4X",,No,32mm,1987,N/A (No bracket),Rear net holder / 18-100mm Cooke Varotal modified for t-stop by Technovision,
,,20-100mm,3.1,"2' 4""",11 lbs,"12.75""",144mm,PL universal,28mm,35mm OK,6,"2X anamorphic, IBE 1.4X, IBE 2X, Century 2X, Optex 2X",,No,37mm,1971,Standard,Rear net holder,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Cooke,Wide Angle Varotal,14-70mm,3.1,"2' 4""",16,,198mm,PL universal,24mm,35mm OK,,"2X anamorphic, IBE 1.4X, IBE 2X, Century 2X, Optex 2X",,No,,1986,,20-100mm with wide-angle aspheron,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Duclos,Tokina,11-16mm,2.8,1',1.4 lbs,"3.3""",80mm,PL,32mm (35mm at 12.5mm),35mm OK,9,"IBE 1.4X, IBE 2X, Century 2X, Optex 2X",,No,N/A,,N/A (No bracket),Duclos rehoused,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
Focus Optics,Ruby,14-24mm,2.8,1',3.4 lbs,"5""",110mm,PL,36.5mm,35mm OK,9,"IBE 1.4X, IBE 2X",,No,N/A,,N/A (No bracket),Rectilinear,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
FUJINON,Duvo,24-300mm,2.9,4',6.5 lbs,"10.6""",114mm,PL,FF,,,,1.5x Built-in,,,2024,N/A (No bracket),Has built in servo motor that requires power.,
,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Heden Motor Size,Notes,
